STCOU,POPESTIMATE2014,NPOPCHG2014,NATURALINC2014,INTERNATIONALMIG2014,DOMESTICMIG2014
21007,8240,-42,-18,1,-35
21009,43148,102,72,23,26
21011,12206,198,36,0,151
21013,27778,-127,19,4,-148
21015,126413,1878,927,323,579
21017,19972,37,0,14,23
21019,48832,-131,15,-10,-132
21021,29706,118,8,7,115
21023,8406,-34,4,3,-49
21029,77955,1136,188,-5,913
21031,12875,49,19,42,-12
21035,38282,141,11,127,34
21037,91833,448,293,121,57
21047,74250,-172,938,360,-1480
21049,35758,151,80,12,65
21059,98275,75,339,43,-260
21061,12013,-69,-45,-1,-11
21067,310797,2386,1907,1163,-512
21073,49880,219,77,63,54
21075,6265,-120,-23,0,-98
21077,8589,85,40,1,35
21081,24875,299,125,-3,168
21083,37618,238,66,74,121
21089,36308,-188,-77,6,-101
21091,8753,67,27,0,43
21093,108266,193,674,215,-693
21101,46467,78,44,12,42
21103,15572,141,6,6,137
21107,46376,-180,-5,13,-182
21111,760026,2744,2817,2051,-1581
21113,50815,731,275,57,373
21117,163929,562,987,138,-489
21121,31798,-39,38,6,-100
21123,14180,104,-4,4,107
21125,60015,334,119,15,174
21137,24445,32,52,-1,-13
21139,9359,-9,-11,5,-12
21145,65316,-64,-64,-1,25
21149,9478,-35,14,3,-53
21151,87340,1159,357,73,709
21161,17166,-143,40,2,-192
21163,29139,-107,34,80,-214
21165,6287,-36,-11,-1,-25
21169,9990,27,-8,0,37
21173,27474,192,149,8,19
21179,44812,320,225,-3,117
21185,63490,1036,161,71,835
21191,14493,-86,22,0,-106
21199,63825,137,-21,15,148
21203,16826,71,-56,0,131
21209,51284,1251,328,26,854
21211,44875,616,365,30,247
21215,17668,114,26,-3,82
21217,25257,67,15,35,2
21221,14142,-160,-15,0,-147
21223,8786,-56,3,19,-80
21227,120460,1796,653,464,707
21235,35503,-83,49,33,-147
21239,25563,309,87,20,207
22001,62486,317,237,43,67
22005,117029,2597,850,77,1638
22011,36198,-25,133,25,-166
22015,125064,1216,871,220,111
22017,252603,-2561,1027,239,-3814
22019,197204,1422,873,234,391
22023,6679,0,-3,0,-7
22029,20466,-9,37,-1,-51
22031,27142,30,111,9,-71
22033,446042,763,2353,1079,-2459
22037,19813,108,-18,6,102
22043,22384,33,77,14,-61
22045,73913,-117,250,132,-484
22047,33327,-111,178,25,-324
22051,435716,192,1492,1811,-3004
22055,235644,4334,1650,514,2110
22057,98020,695,391,193,165
22061,47617,89,186,254,-336
22063,135751,1513,774,94,675
